ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_F,INS_SECTOR_PRI,2017,1196.5394,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_T,INS_SECTOR_TOTAL,2018,7225.3053,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_T,INS_SECTOR_PUB,2018,613.5105,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_T,INS_SECTOR_PRI,2018,6611.7948,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_M,INS_SECTOR_TOTAL,2018,5870.7504,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_M,INS_SECTOR_PUB,2018,474.997,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_M,INS_SECTOR_PRI,2018,5395.7534,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_F,INS_SECTOR_TOTAL,2018,1354.5549,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_F,INS_SECTOR_PUB,2018,138.5135,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_F,INS_SECTOR_PRI,2018,1216.0415,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_T,INS_SECTOR_TOTAL,2019,7388.3152,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_T,INS_SECTOR_PUB,2019,762.6469,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_T,INS_SECTOR_PRI,2019,6625.6683,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_M,INS_SECTOR_TOTAL,2019,5617.089,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_M,INS_SECTOR_PUB,2019,595.7787,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_M,INS_SECTOR_PRI,2019,5021.3102,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_F,INS_SECTOR_TOTAL,2019,1771.2263,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_F,INS_SECTOR_PUB,2019,166.8682,,,R1:3513
ARE,EMP_TEMP_SEX_INS_NB,BA:716,SEX_F,INS_SECTOR_PRI,2019,1604.3581,,,R1:3513
ARG,EMP_TEMP_SEX_INS_NB,BA:150,SEX_T,INS_SECTOR_TOTAL,2004,9254.7245,,,R1:3513_S4:33
ARG,EMP_TEMP_SEX_INS_NB,BA:150,SEX_T,INS_SECTOR_PUB,2004,1699.2072,,,R1:3513_S4:33
ARG,EMP_TEMP_SEX_INS_NB,BA:150,SEX_T,INS_SECTOR_PRI,2004,7555.5172,,,R1:3513_S4:33
ARG,EMP_TEMP_SEX_INS_NB,BA:150,SEX_M,INS_SECTOR_TOTAL,2004,5362.5993,,,R1:3513_S4:33
ARG,EMP_TEMP_SEX_INS_NB,BA:150,SEX_M,INS_SECTOR_PUB,2004,735.9595,,,R1:3513_S4:33
